"Player","Year","Rnd","Pick","Tm","ID","PosPro","Age","CollegeUniv","PosCollege","Ht","Wt","X40yd","Vertical","Bench","BroadJump","X3Cone","Shuttle"
"A.J. Klein",2013,5,148,"CAR","KleiAJ00","LB",22,"Iowa St.","ILB",73,250,4.66,NA,20,113,NA,NA
"Aaron Dobson",2013,2,59,"NWE","DobsAa00","WR",22,"Marshall","WR",75,210,4.37,NA,NA,NA,NA,NA
"Aaron Mellette",2013,7,238,"BAL","MellAa00","WR",23,"Elon","WR",74,217,4.54,33.5,9,123,7.11,4.41
"Ace Sanders",2013,4,101,"JAX","SandAc00","WR",21,"South Carolina","WR",67,173,4.58,32,7,117,6.81,4.37
"Akeem Spence",2013,4,100,"TAM","SpenAk00","DT",21,"Illinois","DT",73,307,5.15,30,37,107,7.82,4.72
"Alan Bonner",2013,6,195,"HOU","BonnAl00","WR",22,"Jacksonville St.","WR",70,193,4.59,33,14,117,NA,4.15
"Alec Ogletree",2013,1,30,"STL","OgleAl00","LB",21,"Georgia","OLB",74,242,4.7,33.5,20,122,7.16,4.39
"Alex Okafor",2013,4,103,"ARI","OkafAl00","DE",22,"Texas","DE",76,264,4.78,NA,21,NA,NA,NA
"Andre Ellington",2013,6,187,"ARI","ElliAn00","RB",24,"Clemson","RB",69,199,4.61,34,NA,122,NA,NA
"Armonty Bryant",2013,7,217,"CLE","BryaAr00","DE",23,"East Central (OK)","DE",76,263,4.86,31.5,NA,118,7.32,5
"Arthur Brown",2013,2,56,"BAL","BrowAr00","LB",20,"Kansas St.","OLB",72,241,4.62,NA,NA,116,NA,NA
"B.W. Webb",2013,4,114,"DAL","WebbBW00","DB",23,"William & Mary","CB",70,184,4.51,40.5,14,132,6.82,3.84
"Bacarri Rambo",2013,6,191,"WAS","RambBa00","DB",23,"Georgia","FS",72,211,4.56,NA,17,NA,NA,NA
"Barkevious Mingo",2013,1,6,"CLE","MingBa00","LB",22,"LSU","OLB",76,241,4.58,37,NA,128,6.84,4.39
"Barrett Jones",2013,4,113,"STL","JoneBa00","G",23,"Alabama","C",76,306,5.43,NA,NA,NA,NA,NA
"Bennie Logan",2013,3,67,"PHI","LogaBe00","DT",23,"LSU","DT",74,309,5.08,25,30,104,7.53,4.67
"Bjoern Werner",2013,1,24,"IND","WernBj00","DE",23,"Florida St.","DE",75,266,4.83,31,25,111,7.3,4.4
"Blidi Wreh-Wilson",2013,3,70,"TEN","WrehBl00","DB",23,"Connecticut","CB",73,195,4.53,36,14,128,6.97,4.12
"Brad Sorensen",2013,7,221,"SDG","SoreBr00","QB",25,"Southern Utah","QB",76,229,4.97,29,NA,112,7.17,4.55
"Braden Wilson",2013,6,204,"KAN","WilsBr00","FB",23,"Kansas St.","FB",75,251,4.81,NA,22,NA,NA,NA
"Brandon Hepburn",2013,7,245,"DET","HepbBr00","LB",23,"Florida A&M","ILB",74,240,4.68,32,21,124,7.4,4.55
"Brandon Jenkins",2013,5,162,"WAS","JenkBr00","DE",23,"Florida St.","DE",74,251,5.07,NA,18,NA,NA,NA
"Brandon McGee",2013,5,149,"STL","McGeBr00","DB",22,"Miami (FL)","CB",71,193,4.4,33.5,14,119,6.71,4.18
"Brandon Williams",2013,3,94,"BAL","WillBr02","DT",24,"Missouri Southern","DT",73,335,5.37,29.5,38,102,8.09,4.91
"Brennan Williams",2013,3,89,"HOU","WillBr03","OL",22,"North Carolina","OT",78,318,5.27,NA,NA,NA,NA,NA
"Brian Schwenke",2013,4,107,"TEN","SchwBr00","C",22,"California","C",75,314,4.99,26.5,31,108,7.31,4.74
"Brian Winters",2013,3,72,"NYJ","WintBr00","G",22,"Kent St.","OG",76,320,5.22,NA,9,NA,NA,NA
"Caleb Sturgis",2013,5,166,"MIA","SturCa00","K",24,"Florida","K",70,188,4.77,NA,NA,NA,NA,NA
"Chance Warmack",2013,1,10,"TEN","WarmCh00","G",21,"Alabama","OG",74,317,5.49,NA,NA,110,NA,NA
"Chris Gragg",2013,7,222,"BUF","GragCh00","TE",23,"Arkansas","TE",75,244,4.5,37.5,18,125,7.08,4.51
"Chris Harper",2013,4,123,"SEA","HarpCh00","WR",23,"Kansas St.","WR",73,229,4.55,35.5,20,116,6.89,4.39
"Chris Jones",2013,6,198,"HOU","JoneCh04","DT",23,"Bowling Green","DT",74,302,5.33,NA,30,NA,7.34,4.44
"Chris Thompson",2013,5,154,"WAS","ThomCh03","RB",22,"Florida St.","RB",67,192,4.42,NA,21,NA,NA,NA
"Christine Michael",2013,2,62,"SEA","MichCh00","RB",22,"Texas A&M","RB",70,220,4.54,43,27,125,6.69,4.02
"Cobi Hamilton",2013,6,197,"CIN","HamiCo00","WR",22,"Arkansas","WR",74,212,4.56,29.5,11,107,NA,4.31
"Cordarrelle Patterson",2013,1,29,"MIN","PattCo00","WR",22,"Tennessee","WR",74,216,4.42,37,NA,128,NA,NA
"Corey Fuller",2013,6,171,"DET","FullCo00","WR",23,"Virginia Tech","WR",74,204,4.43,31.5,12,120,NA,NA
"Corey Lemonier",2013,3,88,"SFO","LemoCo00","DE",21,"Auburn","DE",75,255,4.6,33,27,119,7.14,4.4
"Cornelius Washington",2013,6,188,"CHI","WashCo00","LB",23,"Georgia","DE",76,265,4.55,39,36,128,NA,NA
"D.C. Jefferson",2013,7,219,"ARI","JeffD.00","TE",24,"Rutgers","TE",78,255,4.97,NA,3,NA,NA,NA
"D.J. Fluker",2013,1,11,"SDG","FlukDJ00","T",22,"Alabama","OT",77,339,5.31,NA,21,NA,NA,NA
"D.J. Hayden",2013,1,12,"OAK","HaydDJ00","DB",23,"Houston","CB",71,191,4.4,NA,NA,NA,NA,NA
"D.J. Swearinger",2013,2,57,"HOU","SweaDJ00","DB",22,"South Carolina","FS",70,208,4.67,37,17,124,6.7,4.11
"Daimion Stafford",2013,7,248,"TEN","StafDa00","DB",22,"Nebraska","FS",72,221,4.69,30.5,21,111,7.06,NA
"Dallas Thomas",2013,3,77,"MIA","ThomDa04","T",23,"Tennessee","OT",77,306,5.08,NA,NA,NA,NA,NA
"Damontre Moore",2013,3,81,"NYG","MoorDa01","DE",20,"Texas A&M","DE",76,250,4.95,35.5,12,122,NA,NA
"Darius Slay",2013,2,36,"DET","SlayDa00","DB",22,"Mississippi St.","CB",72,192,4.36,35.5,14,124,6.9,4.21
"Datone Jones",2013,1,26,"GNB","JoneDa03","DE",23,"UCLA","DE",76,283,4.8,31.5,29,112,7.32,4.32
"David Amerson",2013,2,51,"WAS","AmerDa00","DB",21,"North Carolina St.","CB",73,205,4.44,35.5,15,127,NA,NA
"David Bakhtiari",2013,4,109,"GNB","BakhDa00","T",21,"Colorado","OT",76,299,5.18,25.5,28,101,7.7,4.74
"David Bass",2013,7,233,"OAK","BassDa00","DE",22,"Missouri Western St.","DE",76,262,4.84,30.5,20,111,7.07,4.33
"David Quessenberry",2013,6,176,"HOU","QuesDa00","OL",23,"San Jose St.","OT",77,302,5.08,29.5,25,112,7.49,4.45
"DeAndre Hopkins",2013,1,27,"HOU","HopkDe00","WR",21,"Clemson","WR",73,214,4.57,36,15,115,NA,4.5
"Dee Milliner",2013,1,9,"NYJ","MillDe00","DB",21,"Alabama","CB",72,201,4.37,36,NA,122,6.95,4.32
"Demetrius McCray",2013,7,210,"JAX","McCrDe00","DB",22,"Appalachian St.","CB",73,187,4.54,36,4,126,7.17,4.32
"Denard Robinson",2013,5,135,"JAX","RobiDe00","WR",22,"Michigan","WR",70,199,4.43,36.5,NA,123,7.09,4.22
"Desmond Trufant",2013,1,22,"ATL","TrufDe00","DB",22,"Washington","CB",72,190,4.38,37.5,16,125,NA,3.85
"Devin Taylor",2013,4,132,"DET","TaylDe00","DE",23,"South Carolina","DE",79,266,4.72,35,14,128,6.89,4.3
"DeVonte Holloman",2013,6,185,"DAL","HollDe01","LB",22,"South Carolina","OLB",73,243,4.76,33,15,113,7.3,4.26
"Dion Jordan",2013,1,3,"MIA","JordDi00","DE",23,"Oregon","OLB",78,248,4.54,32.5,NA,122,7.02,4.35
"Dion Sims",2013,4,106,"MIA","SimsDi00","TE",22,"Michigan St.","TE",77,262,4.75,35,22,112,7.36,4.52
"Duke Williams",2013,4,105,"BUF","WillDu00","DB",22,"Nevada","SS",71,203,4.48,37.5,13,126,NA,4
"Dustin Hopkins",2013,6,177,"BUF","HopkDu00","K",22,"Florida St.","K",74,193,4.74,33.5,NA,116,NA,NA
"Dwayne Gratz",2013,3,64,"JAX","GratDw00","DB",23,"Connecticut","CB",71,201,4.47,38,22,125,6.7,4.15
"Earl Watford",2013,4,116,"ARI","WatfEa00","G",23,"James Madison","OG",75,300,5.06,30,24,107,7.77,5
"Earl Wolff",2013,5,136,"PHI","WolfEa00","DB",23,"North Carolina St.","SS",71,209,4.44,39,NA,134,NA,4.07
"Eddie Lacy",2013,2,61,"GNB","LacyEd00","RB",23,"Alabama","RB",71,231,4.55,NA,NA,NA,NA,NA
"Edmund Kugbila",2013,4,108,"CAR","KugbEd00","OL",22,"Valdosta St.","OG",76,317,5.13,22.5,23,105,7.72,4.65
"Eric Fisher",2013,1,1,"KAN","FishEr00","T",22,"Central Michigan","OT",79,306,5.05,28.5,27,116,7.59,4.44
"Eric Herman",2013,7,225,"NYG","HermEr00","OL",23,"Ohio","OG",76,320,5.25,28,36,95,7.99,5.09
"Eric Reid",2013,1,18,"SFO","ReidEr00","DB",21,"LSU","FS",73,213,4.53,40.5,17,134,6.99,4.22
"Everett Dawkins",2013,7,229,"MIN","DawkEv00","DT",23,"Florida St.","DT",74,292,5.06,30,23,103,7.61,4.88
"Garrett Gilkey",2013,7,227,"CLE","GilkGa00","T",23,"Chadron St.","OT",78,318,5.29,30,28,108,7.65,4.75
"Gavin Escobar",2013,2,47,"DAL","EscoGa00","TE",22,"San Diego St.","TE",78,254,4.84,32,NA,114,7.07,4.31
"Geno Smith",2013,2,39,"NYJ","SmitGe00","QB",22,"West Virginia","QB",74,218,4.58,33.5,NA,124,NA,NA
"Gerald Hodges",2013,4,120,"MIN","HodgGe00","LB",22,"Penn St.","OLB",73,243,4.78,NA,22,119,NA,NA
"Giovani Bernard",2013,2,37,"CIN","BernGi00","RB",21,"North Carolina","RB",68,202,4.53,33.5,19,122,6.91,4.12
"Hugh Thornton",2013,3,86,"IND","ThorHu00","G",22,"Illinois","OG",75,320,5.11,NA,27,NA,7.45,4.63
"J.C. Tretter",2013,4,122,"GNB","TretJC00","T",22,"Cornell","OG",76,307,5.09,29.5,29,109,7.48,4.69
"J.J. Wilcox",2013,3,80,"DAL","WilcJ.00","DB",22,"Georgia Southern","SS",72,213,4.57,35,17,124,7.02,4.09
"Jamar Taylor",2013,2,54,"MIA","TaylJa01","DB",22,"Boise St.","CB",71,192,4.39,35,22,127,6.82,4.06
"Jamie Collins",2013,2,52,"NWE","CollJa00","LB",23,"Southern Miss","OLB",75,250,4.64,41.5,19,139,7.1,4.32
"Jamoris Slaughter",2013,6,175,"CLE","SlauJa00","DB",23,"Notre Dame","SS",72,195,4.57,NA,NA,NA,NA,NA
"Jared Smith",2013,7,241,"SEA","SmitJa02","DT",23,"New Hampshire","DT",75,302,5.08,32.5,28,115,7.2,4.39
"Jarvis Jones",2013,1,17,"PIT","JoneJa05","LB",23,"Georgia","OLB",74,245,4.74,NA,NA,NA,NA,NA
"Jawan Jamison",2013,7,228,"WAS","JamiJa00","RB",21,"Rutgers","RB",67,203,4.68,29,20,110,NA,NA
"Jeff Baca",2013,6,196,"MIN","BacaJe00","G",23,"UCLA","OG",75,302,5.03,26.5,NA,100,7.26,4.44
"Jeff Locke",2013,5,155,"MIN","LockJe00","P",23,"UCLA","P",73,209,4.82,NA,NA,NA,NA,NA
"Jelani Jenkins",2013,4,104,"MIA","JenkJe00","LB",21,"Florida","ILB",72,243,4.65,NA,27,NA,NA,NA
"Jesse Williams",2013,5,137,"SEA","WillJe02","DT",22,"Alabama","DT",75,323,4.94,NA,30,NA,NA,NA
"Joe Kruger",2013,7,212,"PHI","KrugJo00","DE",21,"Utah","DE",78,269,4.83,34,24,117,7.17,4.46
"John Boyett",2013,6,192,"IND","BoyeJo00","DB",23,"Oregon","FS",70,204,4.64,NA,27,NA,NA,NA
"John Jenkins",2013,3,82,"NOR","JenkJo00","DT",24,"Georgia","DT",76,346,5.21,NA,30,NA,NA,NA
"John Simon",2013,4,129,"BAL","SimoJo01","DE",22,"Ohio St.","OLB",73,257,4.62,NA,NA,NA,NA,NA
"Johnathan Franklin",2013,4,125,"GNB","FranJo01","RB",23,"UCLA","RB",70,205,4.49,31.5,18,115,6.89,4.31
"Johnathan Hankins",2013,2,49,"NYG","HankJo00","DT",21,"Ohio St.","DT",75,320,5.31,26,NA,104,7.59,4.61
"Johnthan Banks",2013,2,43,"TAM","BankJo00","DB",23,"Mississippi St.","CB",74,185,4.61,34,10,125,6.97,4.27
"Jonathan Cooper",2013,1,7,"ARI","CoopJo01","G",23,"North Carolina","OG",74,311,5.07,27,35,108,7.78,4.84
"Jordan Hill",2013,3,87,"SEA","HillJo01","DT",22,"Penn St.","DT",73,303,5.23,22.5,28,103,7.49,4.51
"Jordan Mills",2013,5,163,"CHI","MillJo02","T",22,"Louisiana Tech","OT",77,316,5.37,28.5,20,101,8.1,4.88
"Jordan Poyer",2013,7,218,"PHI","PoyeJo00","DB",22,"Oregon St.","CB",72,191,4.54,30.5,8,118,6.87,4.18
"Jordan Reed",2013,3,85,"WAS","ReedJo02","TE",23,"Florida","TE",74,236,4.72,NA,16,NA,NA,NA
"Joseph Randle",2013,5,151,"DAL","RandJo01","RB",21,"Oklahoma St.","RB",72,204,4.63,35,NA,123,NA,NA
